query_id	parent_id	similarity	query_total_abundance	parent_total_abundance	query_overlap_abundance	parent_overlap_abundance	query_incidence	parent_incidence	common_incidence	smallest_ratio	sum_ratio	avg_ratio	smallest_non_null_ratio	avg_non_null_ratio	largest_ratio	relative_incidence	status
Taxa_2746	Taxa_486	88.50	17	247	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2746	Taxa_2017	87.80	17	43	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2772	Taxa_1348	86.80	24	49	0	0	2	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3324	Taxa_1943	94.60	12	98	0	0	1	9	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3377	Taxa_583	89.90	12	387	0	0	1	4	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3377	Taxa_2229	89.90	12	23	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3377	Taxa_2548	89.60	12	19	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3377	Taxa_123	88.50	12	1325	12	28	1	9	1	2.33	2.33	2.33	2.33	2.33	2.33	1.00	accepted
Taxa_3069	Taxa_873	91.30	25	92	6	92	3	1	1	0.00	15.33	5.11	15.33	15.33	15.33	0.33	rejected
Taxa_3069	Taxa_2544	91.30	25	27	0	0	3	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_3069	Taxa_1755	91.00	25	72	11	22	3	3	1	0.00	2.00	0.67	2.00	2.00	2.00	0.33	rejected
Taxa_3069	Taxa_2040	90.60	25	26	8	26	3	1	1	0.00	3.25	1.08	3.25	3.25	3.25	0.33	rejected
Taxa_3069	Taxa_499	90.30	25	255	14	53	3	9	2	0.00	8.33	2.78	1.50	4.17	6.83	0.67	rejected
Taxa_3069	Taxa_984	90.30	25	78	0	0	3	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2197	Taxa_1617	96.60	23	105	0	0	2	6	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2796	Taxa_918	94.60	16	206	0	0	1	5	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2796	Taxa_1094	91.40	16	67	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2796	Taxa_1996	90.70	16	59	0	0	1	3	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2796	Taxa_2544	90.70	16	27	0	0	1	2	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2796	Taxa_636	90.30	16	248	0	0	1	6	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
Taxa_2797	Taxa_1018	91.00	32	139	16	65	2	2	1	0.00	4.06	2.03	4.06	4.06	4.06	0.50	rejected
Taxa_2797	Taxa_387	90.70	32	545	32	116	2	7	2	3.19	7.25	3.62	3.19	3.62	4.06	1.00	accepted
Taxa_2802	Taxa_336	88.10	16	456	16	56	1	10	1	3.50	3.50	3.50	3.50	3.50	3.50	1.00	accepted
Taxa_3112	Taxa_2988	96.00	14	15	0	0	1	1	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	rejected
